begin time,end time,turn,Overlap,Interruption,Successful interruption,turn.holder,speaker,Chinese,Pinyin,English,addressee,arguable.move,issue at stake,substance,whats offered,strategy.detail,strategy,strategy.meaning,option,option.details,target.detail,valence,attitude,explicitness,invocation.signal,trigger,attitude.realisation,graduation.detail,graduation.realisation,engagement.detail,engage.realisation,particle
03:32.4,03:34.0,10,,,,,Husband_H02_WH,晚上怒骂,Wǎnshàng nù mà.,Roared at night.,hostess,,,,,,,,,,antagonist,-ve,judgement,inscribe,,,,up:infused,,monoglossic,,
03:34.0,03:35.7,10,,,,,Husband_H02_WH,哎呀,Āiyā,Oh my god,hostess,,,,,,,,,,,,,,,,,,,,,
03:35.7,04:00.7,10,,,,Voiceover,Voiceover,,,,,,,,,,,,,,,,,,,,,,,,,
04:00.7,04:03.8,11,,,,Wife_H02_AW,Wife_H02_AW,他回家的时候..跟同学聚完会以后..,Tā huí jiā de shíhòu.. gēn tóngxué jù wán huì yǐhòu..,When he got home.. after meeting with his high schoolmates..,hostess,,,,,,,,,,,,,,,,,,,,,
04:04.4,04:08.0,11,,,,,Wife_H02_AW,从他回来以后我就发现..,cóng tā huílái yǐhòu wǒ jiù fāxiàn..,I found that after he came back..,hostess,,,,,,,,,,,,,,,,,,,,,
04:08.6,04:10.8,11,,,,,Wife_H02_AW,他跟那个女同学有些私聊,tā gēn nàgè nǚ tóngxué yǒuxiē sī liáo.,He had some private chats with the female high schoolmate.,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,evoke,,私聊,down:isolated,有些,monoglossic,,
04:13.0,04:14.9,11,,,,,Wife_H02_AW,聚会回来的时候第二天嘛..,Jùhuì huílái de shíhòu dì èr tiān ma..,The next day after the party..,hostess,,,,,,,,,,,,,,,,,,,,,
04:14.9,04:16.8,11,,,,,Wife_H02_AW,是2月14号,shì 2 yuè 14 hào.,It was February 14th.,hostess,,,,,,,,,,,,,,,,,,,,,
04:16.8,04:19.5,11,,,,,Wife_H02_AW,情人节..情人节的晚上,Qíngrén jié.. qíngrén jié de wǎnshàng.,Valentine's Day.. Valentine's Day evening.,hostess,,,,,,,,,,,,,,,,,,,,,
04:19.5,04:20.3,11,,,,,Wife_H02_AW,他俩聊天,Tā liǎ liáotiān.,They chatted.,hostess,,,,,,,,,,,,,,,,,,,,,
04:20.3,04:24.5,11,O,,,,Wife_H02_AW,聊天的时候他发给那女同学的红包是[520],Liáotiān de shíhòu tā fā gěi nà nǚ tóngxué de hóngbāo shì 520.,When they chatted.. he sent to the female high schoolmate a red envelop of 520 RMB.,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,evoke,,红包520,,,monoglossic,,
04:23.9,04:24.5,12,O,,,Husband_H02_WH,Husband_H02_WH,[哼],Hēng,Humph,,,,,,,,,,,,,,,,,,,,,,
04:25.0,04:27.1,13,,,,Wife_H02_AW,Wife_H02_AW,然后我发现下边的记录..,ránhòu wǒ fāxiàn xiàbian de jìlù..,Then I found in the chat history..,hostess,VoE,,,,,,,,,,,,,,,,,,,,
04:27.1,04:28.5,13,,,,,Wife_H02_AW,还有一些暧昧,hái yǒu yīxiē àimèi.,were sort of flirtatious,hostess,ExAss,,,,,,,,,antagonist,-ve,judgement,inscribe,,,暧昧,down:isolated,一些,monoglossic,,
04:29.8,04:32.8,13,,,,,Wife_H02_AW,比如说他在里头跟那女同学..,Bǐrú shuō tā zài lǐtou gēn nà nǚ tóngxué..,For example.. he said to the female high schoolmate..,hostess,VoE,,,,,,,,,,,,,,,,,,,,
04:32.8,04:34.3,13,,,,,Wife_H02_AW,[模仿丈夫的声音] 姐姐啊..怎么啦,jiějiě a.. zěnme la,[mimicking the husband’s voice] Elder sister.. what's wrong,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,quotation:other,,,,,expand:attribute,,
04:34.3,04:36.0,13,,,,,Wife_H02_AW,[模仿丈夫的声音] 你真想让我叫你姐姐吗 ,Nǐ xiǎng ràng wǒ jiào nǐ jiějiě a,[mimicking the husband’s voice] Do you really want me to call you elder sister,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,quotation:other,,,,,expand:attribute,,
04:37.8,04:40.8,13,,,,,Wife_H02_AW,但是那种声音跟咱们平常这样的叫姐姐..,Dànshì nà zhǒng shēngyīn gēn zánmen píngcháng zhèyàng de jiào jiějiě..,But that kind of voice calling elder sister..,hostess,,,,,,,,,,,,,,,,,,,,,
04:40.8,04:41.8,13,,,,,Wife_H02_AW,那种不一样,nà zhǒng bù yīyàng.,was not the same as what we do in normal situations.,hostess,IVoE,,,,,,,,,antagonist,-ve,judgement,invoke,denial,,不一样,,,contract:disclaim,,
04:41.8,04:43.1,14,,I,S,Hostess_H02,Hostess_H02,就语音聊天..是吧,Jiù yǔyīn liáotiān.. shì ba,They had voice chat.. Isn't,wife,,,,,,,,,,,,,,,,,,,,,
04:43.1,04:43.6,15,,,,Wife_H02_AW,Wife_H02_AW,嗯..对,Ń.. duì.,Yep.. right.,hostess,,,,,,,,,,,,,,,,,,,,,
04:43.6,04:46.1,16,,I,S,Hostess_H02,Hostess_H02,语气让你觉得[有点]暧昧,Yǔqì ràng nǐ juéde yǒudiǎn àimèi,Does the tone make you feel they were a little flirtatious,wife,ExAss,,,,,,,,,,,,,,,,,,,,
04:45.2,04:45.7,17,,,,Wife_H02_AW,Wife_H02_AW,[哎],Āi.,Yep.,hostess,,,,,,,,,,,,,,,,,,,,,
04:46.2,04:46.6,17,,,,,Wife_H02_AW,对,Duì.,Correct.,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,affirmation,,,,,monoglossic,,
04:47.4,04:50.0,18,,I,,Hostess_H02,Hostess_H02,然后又发了一个520的红包,Ránhòu yòu fā le yī ge 520 de hóngbāo.,And he sent a red envelope of 520 RMB.,wife,,,,,,,,,,,,,,,,,,,,,
04:50.0,04:54.1,19,,I,S,Wife_H02_AW,Wife_H02_AW,嗯..对我的感觉..我就是说他精神上有问题,Ń.. duì wǒ de gǎnjué.. wǒ jiùshì shuō tā jīngshén shàng yǒu wèntí.,Yes.. the feeling for me is.. I mean.. he has emotionally cheated.,hostess,ExAss,,,,,,,,,antagonist,-ve,judgement,inscribe,,,有问题,down:isolated,精神上,expand:entertain,对我感觉,
04:55.6,04:58.3,20,,I,S,Husband_H02_WH,Husband_H02_WH,我们这个也能说三十年的同学吧,Wǒmen zhège yě néng shuō sānshí nián de tóngxué ba.,We can somewhat say that we have been high schoolmate friends for 30 years.,hostess,VoE,,,,,,,,,self,+ve,judgement,invoke,evoke,,,,,expand:entertain,,
04:58.3,05:01.1,20,,,,,Husband_H02_WH,然后就是在同学群里面也都挺开心吧,Ránhòu jiùshì zài tóngxué qún lǐmiàn yě dū tǐng kāixīn ba.,Then I am very happy staying in the high schoolmates social media group.,hostess,ExAss,,,,,,,,,self,+ve,judgement,invoke,attitudinal token,other,开心,up:isolated,挺,expand:entertain,,
05:01.1,05:04.9,20,,,,,Husband_H02_WH,不管男同学女同学相互聊天..,Bùguǎn nán tóngxué nǚ tóngxué xiānghù liáotiān..,Regardless of male high schoolmates and female high schoolmates.. we chat with each other.,hostess,VoE,,,,,,,,,,,,,,,,,,,,
05:04.9,05:06.6,20,,,,,Husband_H02_WH,干啥说话开个玩笑啊,gàn shà shuōhuà kāi gè wánxiào a.,We talk and make jokes.,hostess,VoE,精神有问题,ExAss,开玩笑,reorient to a VE,reorient,VoE,Yes,VoE; IVoE; ExAss,,,,,,,,,,,,
05:06.6,05:08.0,20,,,,,Husband_H02_WH,这属于很正常的事情,Zhè shǔyú hěn zhèngcháng de shìqíng.,This is a very normal thing.,hostess,ExAss,精神有问题,ExAss,正常,replace with an alternative assessment,replace,ExAss,Yes,VoE; IVoE; ExAss,self,+ve,judgement,inscribe,,,,up:isolated,,monoglossic,,
05:08.0,05:08.7,20,O,,,,Husband_H02_WH,把[这个],Bǎ zhège……,Consider this as … ,hostess,,,,,,,,,,,,,,,,,,,,,
05:08.5,05:11.7,21,O,I,S,Hostess_H02,Hostess_H02,[她觉得]不正常的是有私聊,tā juédé bù zhèngcháng de shì yǒu sī liáo.,What she feels is abnormal is you had private chats,husband,,,,,,,,,,,,,,,,,,,,,
05:11.8,05:13.7,22,,I,S,Husband_H02_WH,Husband_H02_WH,私聊是咋的说,Sī liáo shì zǎ de shuō,Private chats in what way,hostess,,,,,,,,,,,,,,,,,,,,,
05:13.7,05:17.9,22,,,,,Husband_H02_WH,说这个女同学当中..我们都是有一个共同点吧,Shuō zhège nǚ tóngxué dāngzhōng.. wǒmen dōu shì yǒu yīgè gòngtóng diǎn ba.,Let's say that between the female schoolmate and me.. we both have one thing in common.,hostess,IVoE,,,,,,,,,self,+ve,judgement,invoke,evoke,,,,,expand:entertain,,
05:17.9,05:21.6,22,,,,,Husband_H02_WH,打比方我是喜欢写写画画,Dǎ bǐfāng wǒ shì xǐhuān xiě xiě huà huà.,For example.. I like calligraphy and painting,hostess,ExAss,,,,,,,,,self,+ve,affect,inscribe,,,,,,expand:entertain,,
05:21.6,05:24.8,22,,,,,Husband_H02_WH,有时候自己写上几个字挺漂亮,Yǒu shíhòu zìjǐ xiě shàng jǐ gè zì tǐng piàoliang.,Sometimes I write a few words that are pretty.,hostess,ExAss,,,,,,,,,self,+ve,judgement,inscribe,,,,,,monoglossic,,
05:24.8,05:26.0,22,,,,,Husband_H02_WH,比如她说你挺好哎,Bǐrú tā shuō nǐ tǐng hǎo āi.,For example.. she said that your calligraphy was very good.,hostess,VoE,,,,,,,,,self,+ve,judgement,invoke,quotation:other,,,,,monoglossic,,
05:26.0,05:29.5,22,,,,,Husband_H02_WH,然后说话说得比较多一点,Ránhòu shuōhuà shuō dé bǐjiào duō yīdiǎn.,Then we chatted a little more.,hostess,VoE,私聊,VoE,我画画她说,replace with an alternative VE,replace,VoE,Yes,VoE; IVoE; ExAss,,,,,,,,,,,,
05:30.2,05:32.2,22,,,,,Husband_H02_WH,像她说姐姐..叫啥啊..,Xiàng tā shuō jiějiě.. jiào shà a..,As what she said calling her elder sister.. etc,hostess,VoE,,,,,,,,,,,,,,,,,,,,
05:32.2,05:33.8,22,,,,,Husband_H02_WH,这个是没有叫过,zhège shì méiyǒu jiàoguò.,I never called.,hostess,VoE,叫姐姐,VoE,没有叫过,reject the VE,challenge,VoE,Yes,VoE; IVoE; ExAss,antagonist,-ve,judgement,invoke,denial,,,,,contract:proclaim,,
05:34.0,05:34.8,23,,I,S,Wife_H02_AW,Wife_H02_AW,没聊吗,Méi liáo ma,Never called,antagonist,VoE,没有叫过,VoE,没有吗,present the VE as questionable,challenge,VoE,Yes,VoE; IVoE; ExAss,antagonist,-ve,judgement,invoke,rhetorical question,,,,,contract:proclaim,,
05:34.8,05:35.5,24,,I,,Husband_H02_WH,Husband_H02_WH,啊,A,ah,antagonist,,,,,,,,,,,,,,,,,,,,,
05:35.5,05:37.1,25,,I,S,Wife_H02_AW,Wife_H02_AW,你那里头语音没有吗,Nǐ nàlǐ tou yǔyīn méiyǒu ma,Didn’t you call that in your voice chat history,antagonist,VoE,没有叫过,VoE,没有吗,present the VE as questionable,challenge,VoE,Yes,VoE; ExAss,antagonist,-ve,judgement,invoke,rhetorical question,,,,,contract:proclaim,,
05:37.1,05:38.6,25,,,,,Wife_H02_AW,[模仿丈夫的声音] 你真想让我叫你姐姐吗,Nǐ zhēn xiǎng ràng wǒ jiào nǐ jiějiě ma,[mimicking the husband’s voice] Do you really want me to call you elder sister,antagonist,VoE,没有叫过,VoE,叫姐姐,replace with an alternative VE,replace,VoE,Yes,VoE; ExAss,antagonist,-ve,judgement,invoke,quotation:other,,,,,monoglossic,,
05:38.6,05:39.9,25,O,,,,Wife_H02_AW,[[模仿丈夫的声音]你真想听吗],Nǐ zhēn xiǎng tīng ma,[mimicking the husband’s voice] Do you really want to hear it,antagonist,VoE,没有叫过,VoE,叫姐姐,replace with an alternative VE,replace,VoE,Yes,VoE; ExAss,antagonist,-ve,judgement,invoke,quotation:other,,,,,monoglossic,,
05:38.6,05:40.6,26,O,I,,Husband_H02_WH,Husband_H02_WH,[不不不..]没有[没有],Bù bù bù.. méiyǒu méiyǒu.,No no no..  I didn’t I didn’t ,antagonist,VoE,叫姐姐,VoE,没有叫过,reject the VE,challenge,VoE,No,VoE,antagonist,-ve,judgement,invoke,denial,,,,,monoglossic,,
05:40.5,05:40.8,27,O,I,S,Wife_H02_AW,Wife_H02_AW,[没有]吗,Méiyǒu ma,Didn't you say that,antagonist,VoE,没有叫过,VoE,没有吗,present the VE as questionable,challenge,VoE,No,VoE,antagonist,-ve,judgement,invoke,rhetorical question,,,,,contract:proclaim,,
05:40.9,05:42.8,28,O,I,S,Husband_H02_WH,Husband_H02_WH,她说让叫但是没叫,Tā shuō ràng jiào dànshì méi jiào.,She asked me to call her elder sister.. but I didn't do it.,antagonist,VoE,没有吗,VoE,她说叫但没叫,replace with an alternative VE,replace,VoE,No,VoE,self,+ve,judgement,invoke,denial,,,,,monoglossic,,
05:42.8,05:44.9,28,O,,,,Husband_H02_WH,就[打比方]叫叫也没啥,Jiù dǎ bǐfāng jiào jiào yě méi shà.,There would be nothing wrong even if I had called her in that way.,antagonist,IVoE,叫姐姐,VoE,没啥,reorient to an interpretation of the VE /attitudinalize the VE,reorient,IVoE,No,VoE,self,+ve,judgement,invoke,denial,,,,,expand:entertain,,
05:42.9,05:43.5,29,O,I,,Wife_H02_AW,Wife_H02_AW,[没有吗],Méiyǒu ma,Didn't you say that,antagonist,VoE,没有叫过,VoE,没有吗,present the VE as questionable,challenge,VoE,Yes,VoE; IVoE,antagonist,-ve,judgement,invoke,rhetorical question,,,,,contract:proclaim,,
05:47.0,05:49.4,30,,I,S,Husband_H02_WH,Husband_H02_WH,她说这红包发的520红包,Tā shuō zhè hóngbāo fā de 520 hóngbāo.,About the red envelope of 520 RMB.,hostess,,发520红包,VoE,咋回事,replace with an alternative VE,replace,VoE,No,VoE,,,,,,,,,,,,
05:49.4,05:50.6,30,,,,,Husband_H02_WH,你说咋回事,Nǐ shuō zǎ huí shì,You know what happened,hostess,,,,,,,,,,,,,,,,,,,,,
05:50.6,05:52.1,30,,,,,Husband_H02_WH,是在同学群里边..,Shì zài tóngxué qún lǐbian..,In the social media group of my high schoolmates.. ,hostess,,,,,,,,,,,,,,,,,,,,,
05:52.1,05:54.0,30,,,,,Husband_H02_WH,我这个女同学她发了红包,wǒ zhège nǚ tóngxué tā fāle hóngbāo.,This female high schoolmate sent a group red packet.,hostess,,,,,,,,,,,,,,,,,,,,,
05:54.0,05:55.6,30,,,,,Husband_H02_WH,然后我们都抢红包,Ránhòu wǒmen dōu qiǎng hóngbāo.,Then we all grabbed the red envelopes.,hostess,,,,,,,,,,,,,,,,,,,,,
05:55.6,05:57.2,30,,,,,Husband_H02_WH,我抢了十块多吧,Wǒ qiǎngle shí kuài duō ba.,I grabbed more than ten RMB.,hostess,,,,,,,,,,,,,,,,,,,,,
05:57.2,06:00.2,30,,,,,Husband_H02_WH,抢了十块多我感觉抢了挺多吧..那个时候,Qiǎngle shí kuài duō wǒ gǎnjué qiǎngle tǐng duō ba.. nàgè shíhòu.,I grabbed more than ten RMB and I felt that it's a large sum of money.. at that time.,hostess,,,,,,,,,,,,,,,,,,,,,
06:00.2,06:02.7,30,,,,,Husband_H02_WH,后来我感觉哎..把这个钱还给她吧,Hòulái wǒ gǎnjué āi.. bǎ zhège qián hái gěi tā ba.,Later.. I thought.. let me return the money to her.,hostess,,,,,,,,,,self,+ve,judgement,invoke,quotation:self,,,,,expand:entertain,,
06:02.7,06:05.5,30,,,,,Husband_H02_WH,我就私下里我们两个人哎,Wǒ jiù sīxià lǐ wǒmen liǎng gèrén āi.,I privately.. two of us..,hostess,,,,,,,,,,,,,,,,,,,,,
06:05.5,06:05.8,30,O,,,,Husband_H02_WH,[给她],Gěi tā.,gave her back the money.,hostess,,,,,,,,,,,,,,,,,,,,,
06:05.5,06:06.8,31,O,I,S,Hostess_H02,Hostess_H02,[单独发]一个,Dāndú fā yīgè,Sent her one red envelope separately,husband,,,,,,,,,,,,,,,,,,,,,
06:06.7,06:08.5,32,,I,S,Husband_H02_WH,Husband_H02_WH,单独发一个一块六毛八,Dāndú fā yīgè yīkuài liù máo bā.,I sent her one red envelope of 1.68 RMB.,hostess,VoE,,,,,,,,,,,,,,,,,,,,
06:08.5,06:10.5,32,,,,,Husband_H02_WH,那一天好像是情人节吧,Nà yītiān hǎoxiàng shì qíngrén jié ba.,That day seemed to be Valentine's Day.,hostess,VoE,,,,,,,,,,,,,,,,,,expand:entertain,,
06:10.5,06:13.4,32,,,,,Husband_H02_WH,我点了一下出现个五块二,Wǒ diǎnle yīxià chūxiàn gè wǔ kuài èr.,I clicked on a 5.20 RMB by accident.,hostess,VoE,,,,,,,,,,,,,,,,,,,,
06:13.4,06:15.0,32,,,,,Husband_H02_WH,我直接发出去了,Wǒ zhíjiē fā chūqùle.,I sent it out directly.,hostess,VoE,,,,,,,,,self,+ve,judgement,invoke,evoke,,,,,monoglossic,,
06:15.0,06:16.7,32,,,,,Husband_H02_WH,我发出去以后我一看..哦,Wǒ fā chūqù yǐhòu wǒ yī kàn.. ó.,I saw it after I sent it out.. oh.,hostess,VoE,,,,,,,,,,,,,,,,,,,,
06:16.7,06:19.9,32,,,,,Husband_H02_WH,我爱你实际上说实话..我这个年龄我并不注意那个,Wǒ ài nǐ. Shíjì shang shuō shíhuà.. wǒ zhège niánlíng wǒ bìng bù zhùyì nàgè.,I love you. In fact.. to be honest.. I didn't pay attention to that at my age.,hostess,IVoE,,,,,,,,,self,+ve,judgement,invoke,denial,,,,,contract:proclaim,,
06:19.9,06:21.0,32,,,,,Husband_H02_WH,实际上我爱你我没有注意,Shíjì shang wǒ ài nǐ wǒ méiyǒu zhùyì.,In fact.. I love you.. I didn't pay attention.,hostess,IVoE,,,,,,,,,self,+ve,judgement,invoke,denial,,,,,contract:proclaim,,
06:21.0,06:22.2,32,,,,,Husband_H02_WH,我感觉不妥,Wǒ gǎnjué bù tuǒ.,I felt it's not proper.,hostess,IVoE,,,,,,,,,self,-ve,judgement,inscribe,,,,,,expand:entertain,,
06:22.2,06:23.3,32,,,,,Husband_H02_WH,但是已经发出去了,Dànshì yǐjīng fā chūqùle.,But it had already been sent out.,hostess,VoE,,,,,,,,,,,,,,,,,,,,
06:23.3,06:24.7,32,,,,,Husband_H02_WH,后来又发了几个,Hòulái yòu fāle jǐ gè.,Later.. I sent out few more red envelopes.,hostess,VoE,,,,,,,,,,,,,,,,,,,,
06:24.7,06:26.6,32,,,,,Husband_H02_WH,正好差不多红包有十来块钱,Zhènghǎo chàbùduō hóngbāo yǒu shí lái kuài qián.,Just about ten RMB in total.,hostess,,,,,,,,,,,,,,,,,,,,,
06:26.6,06:27.6,32,,,,,Husband_H02_WH,正好发过去了,Zhènghǎo fā guòqùle.,I sent all of them.,hostess,,,,,,,,,,,,,,,,,,,,,
06:27.6,06:28.4,32,,,,,Husband_H02_WH,就没再发,Jiù méi zài fā.,Then I didn't send it again.,hostess,VoE,,,,,,,,,self,+ve,judgement,invoke,evoke,,,,,monoglossic,,
